id,scientific,scientif_1,eventDate,lon,lat,institutio,collection,catalogNum,scientif_2,originalsc,absence,acceptedNa,accepted_1,accessRigh,aphiaID
0013c003-988d-47b0-a778-5c3e9683d11a,Cepphus grylle,"(Linnaeus, 1758)",01/01/1985 00:00,-58.19897,49.09993,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000505_BLGU_1202_1985-01-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0071248d-d3f0-4c6c-b9df-be47edad9353,Cepphus grylle,"(Linnaeus, 1758)",01/01/1999 00:00,-56.53213,53.93329,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000706_BLGU_9640_1999-01-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
00746c65-f953-447a-80e7-26b9a9c52112,Cepphus grylle,"(Linnaeus, 1758)",8/31/90 12:00,-61.83729172,45.64994049,ACCD,EOR,31482,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
00a8146b-459b-4383-8efe-f32a85386ea4,Cepphus grylle,"(Linnaeus, 1758)",1980-04-28T08:30:00,-52.7667,47.2333,Canadian Wildlife Service,280,280_125486,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
00b6b59d-c92e-422e-a734-cb3145e18b55,Cepphus grylle,,,-66.69,49.91,"Canadian Wildlife Service-Atlantic, Environment Canada",,58439636_-1700888881_760719992,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
00c85030-bdf5-4472-a7ef-488684bdde18,Cepphus grylle,,,-65.47,47.96,"Canadian Wildlife Service-Atlantic, Environment Canada",,1421648014_-980266020_-533574144,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
00c8e739-74f5-4dd7-98c4-23f706de480e,Cepphus grylle,"(Linnaeus, 1758)",07/05/1988 12:00,-60.3768692,46.36740875,ACCD,EOR,31733,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
00f116a4-8f23-43c9-beb3-89d83a32a190,Cepphus grylle,"(Linnaeus, 1758)",6/21/01 00:00,-56.0042,50.03593,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000610_BLGU_5827_2001-06-21,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
01536bcf-0d59-4763-afca-e3a12b6e2ce6,Cepphus grylle,"(Linnaeus, 1758)",,-66.15000153,47.98332977,ACCD,EOR,31404,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
015a4fb1-1a92-4f19-9d9f-478fa2a2b664,Cepphus grylle,,,-69.25,43.86,"Canadian Wildlife Service-Atlantic, Environment Canada",,1272746530_1971340871_2021511629,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0186df2f-2798-46da-9e4d-b9f6e6ac37b1,Cepphus grylle,,,-61.66,50.08,"Canadian Wildlife Service-Atlantic, Environment Canada",,-1636689528_1342834436_-1109118389,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
01c419c7-3aa5-4b94-8f10-adf460291aea,Cepphus grylle,"(Linnaeus, 1758)",01/01/1974 00:00,-54.25816,47.57554,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000372_BLGU_985_1974-01-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
01dba350-f01b-405d-b6e6-4624f5cbf367,Cepphus grylle,"(Linnaeus, 1758)",NA,-68.6212,44.1077,USFWS,,670234,137130,,FALSE,,,,137130
0215b1c1-e8d3-4f03-8fc1-583a6376f955,Cepphus grylle,"(Linnaeus, 1758)",07/04/1986 12:00,-64.04225159,47.00020981,ACCD,EOR,31698,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0230da3c-be12-425b-938b-93b701dd6363,Cepphus grylle,"(Linnaeus, 1758)",NA,-68.0482,44.3562,USFWS,,670548,137130,,FALSE,,,,137130
023a2f76-1f19-4858-9e3c-1326aae38c63,Cepphus grylle,"(Linnaeus, 1758)",1978-06-29T09:00:00,-57.1333,54.0167,Canadian Wildlife Service,280,280_102172,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
024aeb91-389c-4f1e-84e0-f64b046abb7e,Cepphus grylle,"(Linnaeus, 1758)",1979-08-11T15:15:00,-61.9667,57.4333,Canadian Wildlife Service,280,280_118377,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0257be68-0b49-4b07-b975-3d26e08d5cd3,Cepphus grylle,"(Linnaeus, 1758)",05/06/2000,-68.5,53,ICES,DOME-Biota,12135345,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
026ec1a0-ae0d-4f65-8ab9-3a44f6545c76,Cepphus grylle,"(Linnaeus, 1758)",1971-07-02T12:00:00Z,-59.77175903,46.18024826,ACCD,EOR,31749,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
027346ba-7dea-4324-950b-4b828f0786c6,Cepphus grylle,"(Linnaeus, 1758)",6/20/00,-68.5,53,ICES,DOME-Biota,12135378,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0277fe21-cdb4-4fb4-aaee-8875790d4686,Cepphus grylle,"(Linnaeus, 1758)",01/01/1983 00:00,-56.53213,53.93329,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000706_BLGU_1756_1983-01-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
02789f53-dda9-48ee-bae5-12cd27a2e1bb,Cepphus grylle,"(Linnaeus, 1758)",01/01/2008 00:00,-61.5426,45.10182,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NS002232_BLGU_12224_2008-01-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0283caf6-4cbe-401b-a511-7d443e19b8b0,Cepphus grylle,"(Linnaeus, 1758)",05/01/2007 00:00,-61.5426,45.10182,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NS002232_BLGU_9917_2007-05-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
02a086f9-fcc0-4372-b7af-50ce97055e7e,Cepphus grylle,"(Linnaeus, 1758)",1979-08-18T14:00:00,-63.7667,59.3833,Canadian Wildlife Service,280,280_119767,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
02e99486-c689-47e1-853c-36d5af5399db,Cepphus grylle,"(Linnaeus, 1758)",01/01/1984 00:00,-54.27883,49.7749,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000590_BLGU_1528_1984-01-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
03469ee9-33a2-4969-bfb4-0987b4745e1e,Cepphus grylle,,,-65.12,48.08,"Canadian Wildlife Service-Atlantic, Environment Canada",,-1636689528_-1194387646_1937692034,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
034a5815-ef02-486d-b0cb-88f5fe1fe03b,Cepphus grylle,,,-61.2,56.54,"Canadian Wildlife Service-Atlantic, Environment Canada",,1223666941_1223748917_-69023125,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
036116d2-0f74-401b-9c81-5db28588add2,Cepphus grylle,"(Linnaeus, 1758)",1990-07-02T12:00:00Z,-66.01338959,43.4263916,ACCD,EOR,31454,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
03723551-4cfc-4452-b650-72555adac266,Cepphus grylle,,,-63.55,44.62,"Canadian Wildlife Service-Atlantic, Environment Canada",,1295552759_-611383315_864244394,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
040c72a0-9d0d-4c50-8e0d-a5acb3cf1393,Cepphus grylle,"(Linnaeus, 1758)",1979-08-22T12:15:00,-62.5167,58.2833,Canadian Wildlife Service,280,280_120272,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
042cb7db-8319-420b-a7dd-bf6d418a4c7f,Cepphus grylle,"(Linnaeus, 1758)",7/26/05 13:34,-68.174,44.231,NA,,441245,137130,,FALSE,,,,137130
04487bad-235f-452e-8b2c-5dc7c48151d1,Cepphus grylle,"(Linnaeus, 1758)",05/06/2000,-68.5,53,ICES,DOME-Biota,12135341,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
044de6ef-c0e4-4915-8621-94c53c239d50,Cepphus grylle,,,-61.23,56.54,"Canadian Wildlife Service-Atlantic, Environment Canada",,1376494362_998215084_498364221,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
04745b52-840a-494e-8818-6aeb70548001,Cepphus grylle,,,-58.19,51.2,"Canadian Wildlife Service-Atlantic, Environment Canada",,-1636689528_-310499037_-1208054595,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
04b18b47-154e-4eb7-817e-420b30f0e78d,Cepphus grylle,"(Linnaeus, 1758)",08/03/2005 13:16,-68.136,44.359,NA,,441532,137130,,FALSE,,,,137130
04cd9fbc-d96f-4e57-9236-791b0b3deb27,Cepphus grylle,,,-65.3,43.67,"Canadian Wildlife Service-Atlantic, Environment Canada",,1361835644_-2080897728_391146561,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
054fe620-95b6-4c64-9100-38af41ec3557,Cepphus grylle,"(Linnaeus, 1758)",1979-08-17T15:45:00,-63.1333,59.15,Canadian Wildlife Service,280,280_119573,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
05589fc5-a59b-48f8-aa5f-12fe436753e2,Cepphus grylle,,,-65.53,47.97,"Canadian Wildlife Service-Atlantic, Environment Canada",,-635145613_-1740148077_-971862425,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0563143c-7778-4123-a5cc-ba30ffa12823,Cepphus grylle,"(Linnaeus, 1758)",1973-02-16T12:40:00,-60.1833,46.9167,Canadian Wildlife Service,280,280_62363,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
056f2fc2-a209-4616-9e4f-37a6bafc21be,Cepphus grylle,"(Linnaeus, 1758)",07/02/2005 15:15,-68.2233,44.1671,NA,,439871,137130,,FALSE,,,,137130
057af038-a0de-4ff0-bee6-73400d0b32a1,Cepphus grylle,"(Linnaeus, 1758)",1971-07-02T12:00:00Z,-59.79064941,45.93856812,ACCD,EOR,31753,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
058da2a9-36ed-400b-bd88-57e51d312405,Cepphus grylle,"(Linnaeus, 1758)",08/02/1989 00:00,-67.10187,44.50182,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NB000085_BLGU_140_1989-08-02,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0599ad31-693a-4723-8f9e-0e95d2bb8c7b,Cepphus grylle,"(Linnaeus, 1758)",1980-04-09T06:30:00,-53.3667,46.7167,Canadian Wildlife Service,280,280_124522,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
05d24c67-5ba4-498f-951f-159727f29c3b,Cepphus grylle,"(Linnaeus, 1758)",1979-08-29T08:10:00,-61.3167,56.3167,Canadian Wildlife Service,280,280_121050,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
05f43823-75f1-4fa3-b830-66cd5b9005b5,Cepphus grylle,"(Linnaeus, 1758)",01/01/1973 00:00,-55.90647,47.27996,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000284_BLGU_777_1973-01-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
05f76a47-70c5-4cc5-8fc7-db4122c1be93,Cepphus grylle,,,-63.31,59.25,"Canadian Wildlife Service-Atlantic, Environment Canada",,1409356886_-1552909123_152550202,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
06267dfe-0783-4df9-b6db-f2a6a0fce93b,Cepphus grylle,"(Linnaeus, 1758)",NA,-67.54,44.5167,"BOEM, USFWS, NOAA, NAVY",,728436,137130,,FALSE,,,,137130
062fcee9-09b2-4c92-8691-fb97ff85e675,Cepphus grylle,,,-64.01,44.48,"Canadian Wildlife Service-Atlantic, Environment Canada",,-1815568076_994443311_1409778194,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
064083ae-d41a-47b0-b186-a16647083278,Cepphus grylle,"(Linnaeus, 1758)",6/25/06 00:00,-60.14857,47.19983,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NS001142_BLGU_11825_2006-06-25,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
06591d46-6d4a-4bdd-a241-4adad67b9ca1,Cepphus grylle,"(Linnaeus, 1758)",1971-07-21T09:40:00,-56.1833,47.0833,Canadian Wildlife Service,280,280_41888,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
06d8ff72-bf55-48f9-8e84-960ded9017e8,Cepphus grylle,,,-52.58,47.54,"Canadian Wildlife Service-Atlantic, Environment Canada",,1218969274_1968395463_1228308106,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
06e36b84-f2ea-4be6-8006-e226776fbc69,Cepphus grylle,"(Linnaeus, 1758)",1978-08-02T10:45:00,-57.1167,54,Canadian Wildlife Service,280,280_105000,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
07421b43-abb0-4b21-ab59-a90659b487c9,Cepphus grylle,,,-61.6,50.09,"Canadian Wildlife Service-Atlantic, Environment Canada",,-1636689528_-1569287645_-157119286,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
07a66bf6-3b33-4bdb-8464-d85e289ba82d,Cepphus grylle,"(Linnaeus, 1758)",8/21/78 00:00,-57.1988,54.5833,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000756_BLGU_1839_1978-08-21,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
07b2e272-8be8-4ac3-b3ff-7c7ecfba5605,Cepphus grylle,,,-65.49,47.96,"Canadian Wildlife Service-Atlantic, Environment Canada",,1421648014_397506582_1503686679,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
07bf78f3-541b-4898-bdf0-2470db5002c7,Cepphus grylle,"(Linnaeus, 1758)",NA,-67.25,44.33333,NA,,105230,137130,,FALSE,,,,137130
07ecf00b-2d8f-4186-a869-707a045a9859,Cepphus grylle,"(Linnaeus, 1758)",1979-08-27T11:15:00,-61.6167,57.55,Canadian Wildlife Service,280,280_120896,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
07f8cf1b-fe6f-4f67-b76b-d3c74792627c,Cepphus grylle,"(Linnaeus, 1758)",1972-08-06T15:10:00,-59.8833,57.2,Canadian Wildlife Service,280,280_57474,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
080720e8-6f25-4ad4-a6f3-8bc48a67477d,Cepphus grylle,"(Linnaeus, 1758)",1981-02-17T06:00:00,-55.8333,47,Canadian Wildlife Service,280,280_138881,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
081279f0-8cb1-4d32-a26c-c0ecef4dff51,Cepphus grylle,"(Linnaeus, 1758)",1975-07-29T12:50:00,-81.5333,59.4333,Canadian Wildlife Service,280,280_69668,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
08210b86-cd76-4924-ad9a-706f411263c4,Cepphus grylle,"(Linnaeus, 1758)",,-66.75,44.58332825,ACCD,EOR,31398,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
08505b4e-5a5b-4cd6-bf7a-df8c1a586fec,Cepphus grylle,"(Linnaeus, 1758)",1984-12-09T19:00:00,-68.9833,44.0167,Canadian Wildlife Service,280,280_182390,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
085e9ec6-377d-4b86-b9bf-138e117a2c3e,Cepphus grylle,,,-69.31,48.3,"Canadian Wildlife Service-Atlantic, Environment Canada",,792082018_-1083062985_309654508,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
08a2b2e7-8cab-46f1-8609-1afe60693c75,Cepphus grylle,,,-58.39,47.28,"Canadian Wildlife Service-Atlantic, Environment Canada",,1409356886_-600436219_-1531829097,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
08c70f5c-2283-4d69-9274-d639e45d7c92,Cepphus grylle,"(Linnaeus, 1758)",06/12/1980 00:00,-64.69175,45.33006,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NS001131_BLGU_2911_1980-06-12,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
08d9c194-44ed-4a51-9dad-f14988434c50,Cepphus grylle,,,-56.89,53.74,"Canadian Wildlife Service-Atlantic, Environment Canada",,1351610123_1378414434_-1497096133,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
08de11de-cd25-4db3-9f63-f0191c246295,Cepphus grylle,,,-58.48,49.21,"Canadian Wildlife Service-Atlantic, Environment Canada",,896836590_-873657559_-1419610090,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
08fed541-e201-4b1a-bc69-39ccaa5fbe11,Cepphus grylle,"(Linnaeus, 1758)",1979-08-11T15:40:00,-61.9167,57.5833,Canadian Wildlife Service,280,280_118419,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
09147718-d4f1-4869-a928-8d05d40c7c0d,Cepphus grylle,"(Linnaeus, 1758)",07/02/1971 12:00,-60.11323166,45.76700974,ACCD,EOR,31760,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
094dc4cb-8ab5-4b92-b16e-e9073d6de2b9,Cepphus grylle,"(Linnaeus, 1758)",7/28/16 00:00,-66.02289,43.61047,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NS001166_BLGU_13369_2016-07-28,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
